;Gebietsname;Wahlberechtigte;Abgegebene;Ungültige;Gültige;ÖVP;SPÖ;FPÖ;GRÜNE;NEOS;KPÖ;EUROPA;
G00000;Österreich;6416169;3834656;54899;3779757;1305954;903151;650114;532194;319024;30086;39234;
G10000;Burgenland;234609;155364;3407;151957;53808;50146;26649;11819;7861;663;1011;
G10099;Wahlkarten - Burgenland;0;0;0;0;0;0;0;0;0;0;0;
G1A000;Burgenland Nord;124329;83362;1848;81514;28052;26451;14196;7043;4816;359;597;
G1A099;Wahlkarten - Burgenland Nord;0;0;0;0;0;0;0;0;0;0;0;
G1B000;Burgenland Süd;110280;72002;1559;70443;25756;23695;12453;4776;3045;304;414;
G1B099;Wahlkarten - Burgenland Süd;0;0;0;0;0;0;0;0;0;0;0;
G10100;Eisenstadt Stadt;10800;7337;112;7225;2905;1615;1054;963;588;37;63;
G10101;Eisenstadt;10800;6292;101;6191;2500;1366;966;790;485;31;53;
G10199;Wahlkarten - Eisenstadt Stadt;0;1045;11;1034;405;249;88;173;103;6;10;
G10200;Rust Stadt;1597;1124;29;1095;374;338;201;101;61;12;8;
G10201;Rust;1597;956;26;930;336;287;175;62;53;9;8;
G10299;Wahlkarten - Rust Stadt;0;168;3;165;38;51;26;39;8;3;0;
G10300;Eisenstadt - Umgebung;34436;24109;557;23552;8029;8199;3870;1896;1291;84;183;
G10301;Breitenbrunn am Neusiedler See;1611;1016;18;998;324;330;159;113;63;4;5;
G10302;Donnerskirchen;1533;939;20;919;412;246;149;71;37;1;3;
G10303;Großhöflein;1697;968;29;939;373;254;186;63;52;5;6;
G10304;Hornstein;2385;1416;32;1384;393;520;242;123;89;9;8;
G10305;Klingenbach;903;587;17;570;175;291;58;26;14;1;5;
G10306;Leithaprodersdorf;964;676;15;661;388;107;77;50;35;0;4;
G10307;Mörbisch am See;1846;1111;23;1088;326;416;216;71;46;4;9;
G10308;Müllendorf;1143;760;24;736;234;260;106;59;62;2;13;
G10309;Neufeld an der Leitha;2620;1706;41;1665;426;619;348;130;114;8;20;
G10310;Oggau am Neusiedler See;1482;1018;36;982;350;395;154;46;33;1;3;
G10311;Oslip;1037;698;19;679;243;272;64;61;28;1;10;
G10312;Purbach am Neusiedler See;2383;1362;29;1333;518;346;246;132;82;3;6;
G10313;Sankt Margarethen im Burgenland;2307;1464;47;1417;641;364;253;93;54;1;11;
G10314;Schützen am Gebirge;1127;766;27;739;350;218;103;33;30;2;3;
G10315;Siegendorf;2262;1465;30;1435;258;754;243;100;67;4;9;
G10316;Steinbrunn;2084;1268;30;1238;357;484;229;85;73;3;7;
G10317;Trausdorf an der Wulka;1682;1053;21;1032;338;398;154;73;52;4;13;
G10318;Wimpassing an der Leitha;1210;686;14;672;225;162;167;55;54;2;7;
G10319;Wulkaprodersdorf;1486;992;27;965;341;352;115;103;42;3;9;
G10320;Loretto;415;246;1;245;94;70;51;16;10;1;3;
G10321;Stotzing;650;396;13;383;174;112;54;15;22;2;4;
G10322;Zillingtal;774;480;8;472;136;165;80;52;32;5;2;
